ward_id,drainage_capacity
W01,90
W02,96
W03,99
W04,34
W05,20
W06,74
W07,88
W08,50
W09,89
W10,96
W11,64
W12,35
W13,52
W14,23
W15,45
W16,95
W17,76
W18,66
W19,66
W20,72
W21,67
W22,75
W23,34
W24,33
W25,64
W26,86
W27,82
W28,25
W29,62
W30,93
W31,43
W32,75
W33,56
W34,85
W35,41
W36,23
W37,100
W38,45
W39,100
W40,100
W41,80
W42,28
W43,89
W44,30
W45,97
W46,83
W47,66
W48,71
W49,97
W50,85
W51,0
W52,25
W53,57
W54,36
W55,32
W56,32
W57,39
W58,60
W59,92
W60,35
